avenger_id,avenger_name,avenger_category,about_avenger,year_joined,years_since_joined,introduction_date,number_of_appearances,serving_currently,honorary,probationary_intro_date
1,"Henry Jonathan ""Hank"" Pym",MALE,http://marvel.wikia.com/Henry_Pym_(Earth-616),1963,52,Sep-63,1269,YES,Full,
2,Janet van Dyne,FEMALE,http://marvel.wikia.com/Janet_van_Dyne_(Earth-616),1963,52,Sep-63,1165,YES,Full,
3,"Anthony Edward ""Tony"" Stark",MALE,http://marvel.wikia.com/Anthony_Stark_(Earth-616),1963,52,Sep-63,3068,YES,Full,
4,Robert Bruce Banner,MALE,http://marvel.wikia.com/Robert_Bruce_Banner_(Earth-616),1963,52,Sep-63,2089,YES,Full,
5,Thor Odinson,MALE,http://marvel.wikia.com/Thor_Odinson_(Earth-616),1963,52,Sep-63,2402,YES,Full,
6,Richard Milhouse Jones,MALE,http://marvel.wikia.com/Richard_Jones_(Earth-616),1963,52,Sep-63,612,YES,Honorary,
7,Steven Rogers,MALE,http://marvel.wikia.com/Steven_Rogers_(Earth-616),1964,51,Mar-64,3458,YES,Full,
8,Clinton Francis Barton,MALE,http://marvel.wikia.com/Clint_Barton_(Earth-616),1965,50,May-65,1456,YES,Full,
9,Pietro Maximoff,MALE,http://marvel.wikia.com/Pietro_Maximoff_(Earth-616),1965,50,May-65,769,YES,Full,
10,Wanda Maximoff,FEMALE,http://marvel.wikia.com/Wanda_Maximoff_(Earth-616),1965,50,May-65,1214,YES,Full,
11,Jacques Duquesne,MALE,http://marvel.wikia.com/Jacques_Duquesne_(Earth-616),1965,50,Sep-65,115,NO,Full,
12,Heracles,MALE,http://marvel.wikia.com/Hercules_(Earth-616),1967,48,Oct-67,741,YES,Full,
13,T'Challa,MALE,http://marvel.wikia.com/T%27Challa_(Earth-616),1968,47,May-68,780,NO,Full,
14,Victor Shade (alias),MALE,http://marvel.wikia.com/Vision_(Earth-616),1968,47,Nov-68,1036,YES,Full,
15,Dane Whitman,MALE,http://marvel.wikia.com/Dane_Whitman,1969,46,Dec-69,482,NO,Full,
16,Natalia Alianovna Romanova,FEMALE,http://marvel.wikia.com/Natalia_Romanova_(Earth-616)#,1973,42,May-73,1112,YES,Full,
17,Brandt,FEMALE,http://marvel.wikia.com/Mantis_(Earth-616)#,1973,42,Aug-73,160,NO,Full,
18,Henry P. McCoy,MALE,http://marvel.wikia.com/Henry_McCoy_(Earth-616)#,1976,39,Sep-76,1886,NO,Full,Jul-75
19,Heather Douglas,FEMALE,http://marvel.wikia.com/Heather_Douglas_(Earth-616)#,1976,39,Sep-76,332,NO,Full,Jul-75
20,Patsy Walker,FEMALE,http://marvel.wikia.com/Patricia_Walker_(Earth-616)#,1976,39,Sep-76,557,NO,Full,Nov-75
21,Matthew Liebowitz (birth name),MALE,http://marvel.wikia.com/Matthew_Hawk_(Earth-616)#,1975,40,Aug-75,197,NO,Full,
22,Robert L. Frank Sr.,MALE,http://marvel.wikia.com/Robert_Frank_(Earth-616)#,1978,37,Jul-78,106,NO,Full,Apr-77
23,Simon Williams,MALE,http://marvel.wikia.com/Simon_Williams_(Earth-616)#,1979,36,Mar-79,692,YES,Full,Apr-77
24,Yondu Udonta,MALE,http://marvel.wikia.com/Yondu_Udonta_(Earth-691)#,1978,37,Feb-78,109,NO,Honorary,
25,Martinex T'Naga,MALE,http://marvel.wikia.com/Martinex_T%27Naga_(Earth-691)#,1978,37,Feb-78,100,NO,Honorary,
26,Charlie-27,MALE,http://marvel.wikia.com/Charlie-27_(Earth-691)#,1978,37,Feb-78,132,NO,Honorary,
27,Nicholette Gold,FEMALE,http://marvel.wikia.com/Nicholette_Gold_(Earth-691)#,1978,37,Feb-78,108,NO,Honorary,
28,Stakar,MALE,http://marvel.wikia.com/Stakar_Ogord_(Earth-691)#,1978,37,Feb-78,100,NO,Honorary,
29,Vance Astrovik,MALE,http://marvel.wikia.com/Vance_Astro_(Earth-691)#,1978,37,Feb-78,156,NO,Honorary,
30,Mar-Vell,MALE,http://marvel.wikia.com/Mar-Vell_(Earth-616)#,1978,37,Jul-78,254,NO,Full,
31,Carol Susan Jane Danvers,FEMALE,http://marvel.wikia.com/Carol_Danvers_(Earth-616)#,1979,36,Apr-79,935,YES,Full,
32,Samuel Thomas Wilson,MALE,http://marvel.wikia.com/Samuel_Wilson_(Earth-616)#,1979,36,Jun-79,576,YES,Full,
33,Jocasta,FEMALE,http://marvel.wikia.com/Jocasta_(Earth-616)#,1988,27,Nov-88,141,YES,Full,Jul-80
34,Greer Grant Nelson,FEMALE,http://marvel.wikia.com/Greer_Nelson_(Earth-616)#,1981,34,Sep-81,355,YES,Full,
35,Jennifer Walters,FEMALE,http://marvel.wikia.com/Jennifer_Walters_(Earth-616)#,1982,33,Jul-82,933,YES,Full,
36,Monica Rambeau,FEMALE,http://marvel.wikia.com/Monica_Rambeau_(Earth-616)#,1983,32,May-83,348,YES,Full,Jan-83
37,Eros,MALE,http://marvel.wikia.com/Eros_(Earth-616)#,1984,31,May-84,206,NO,Full,Jun-83
38,James R. Rhodes,MALE,http://marvel.wikia.com/James_Rhodes_(Earth-616)#,1984,31,Sep-84,533,NO,Full,May-84
39,Barbara Barton (nee Morse),FEMALE,http://marvel.wikia.com/Barbara_Morse_(Earth-616)#,1984,31,Sep-84,374,NO,Full,Jun-84
40,Moira Brandon,FEMALE,http://marvel.wikia.com/Moira_Brandon_(Earth-616)#,1993,22,Nov-93,2,NO,Honorary,
41,Benjamin Jacob Grimm,MALE,http://marvel.wikia.com/Benjamin_Grimm_(Earth-616)#,1986,29,Jun-86,2305,NO,Full,
42,Bonita Juarez,FEMALE,http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#,1987,28,Sep-87,83,NO,Full,
43,Marc Spector,MALE,http://marvel.wikia.com/Marc_Spector_(Earth-616)#,1988,27,Jun-88,402,NO,Full,Sep-87
44,John F. Walker,MALE,http://marvel.wikia.com/John_Walker_(Earth-616)#,1989,26,May-89,352,NO,Full,
45,Jim Hammond (alias),MALE,http://marvel.wikia.com/Human_Torch_(Android)_(Earth-616)#,1989,26,Nov-89,565,NO,Full,
46,Miguel Santos,MALE,http://marvel.wikia.com/Miguel_Santos_(Earth-616)#,1991,24,Apr-91,112,NO,Full,
47,Julia Carpenter,FEMALE,http://marvel.wikia.com/Julia_Carpenter_(Earth-616)#,1992,23,Sep-92,218,NO,Full,
48,X-51,MALE,http://marvel.wikia.com/2ZP45-9-X-51_(Earth-616)#,1992,23,Jun-92,149,NO,Full,
49,Christopher Powell,MALE,http://marvel.wikia.com/Chris_Powell_(Earth-616)#,1993,22,May-93,168,NO,Full,
50,Namor McKenzie,MALE,http://marvel.wikia.com/Namor_McKenzie_(Earth-616)#,1985,30,Dec-85,1561,NO,Full,
51,Scott Edward Harris Lang,MALE,http://marvel.wikia.com/Scott_Lang_(Earth-616)#,2003,12,03-Feb,217,NO,Full,Jan-87
52,Anthony Ludgate Druid,MALE,http://marvel.wikia.com/Anthony_Druid_(Earth-616)#,1987,28,Apr-87,158,NO,Honorary,
53,Marrina Smallwood,FEMALE,http://marvel.wikia.com/Marrina_Smallwood_(Earth-616)#,1987,28,Dec-87,86,NO,Full,
54,Ravonna Lexus Renslayer,FEMALE,http://marvel.wikia.com/Ravonna_Renslayer_(Earth-6311)#,1988,27,May-88,41,NO,Full,
55,Rita DeMara,FEMALE,http://marvel.wikia.com/Rita_DeMara_(Earth-616)#,1988,27,Nov-88,68,NO,Honorary,
56,Dennis Dunphy,MALE,http://marvel.wikia.com/Dennis_Dunphy_(Earth-616)#,1988,27,Jan-88,70,NO,Full,
57,Mr.X,MALE,http://marvel.wikia.com/Gilgamesh_(Earth-616)#,1989,26,Feb-89,61,NO,Full,
58,Reed Richards,MALE,http://marvel.wikia.com/Reed_Richards_(Earth-616)#,1989,26,Feb-89,2125,YES,Full,
59,Susan Richards (nee Storm),MALE,http://marvel.wikia.com/Susan_Storm_(Earth-616)#,1989,26,Feb-89,1761,NO,Full,
60,Wendell Elvis Vaughn,MALE,http://marvel.wikia.com/Wendell_Vaughn_(Earth-616)#,1989,26,Oct-89,293,NO,Full,
61,Ashley Crawford,FEMALE,http://marvel.wikia.com/Ashley_Crawford_(Earth-616)#,1989,26,Jul-89,36,YES,Full,
62,Dinah Soar,FEMALE,http://marvel.wikia.com/Dinah_Soar_(Earth-616)#,1989,26,Jul-89,22,NO,Full,
63,DeMarr Davis,MALE,http://marvel.wikia.com/DeMarr_Davis_(Earth-616)#,1989,26,Jul-89,31,YES,Full,
64,Val Ventura,MALE,http://marvel.wikia.com/Val_Ventura_(Earth-616)#,1989,26,Jul-89,34,YES,Full,
65,Craig Hollis,MALE,http://marvel.wikia.com/Craig_Hollis_(Earth-616)#,1989,26,Jul-89,33,YES,Full,
66,Gene Lorrene,MALE,http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#,2005,10,05-Apr,4,NO,Full,
67,Dorreen Green,FEMALE,http://marvel.wikia.com/Doreen_Green_(Earth-616)#,2005,10,05-May,47,NO,Full,
68,Monkey Joe,MALE,http://marvel.wikia.com/Monkey_Joe_(Earth-616)#,2005,10,05-May,7,NO,Full,
69,Doug Taggert,MALE,http://marvel.wikia.com/Doug_Taggert_(Earth-616)#,2005,10,05-May,3,NO,Full,
70,Tippy-Toe,FEMALE,http://marvel.wikia.com/Tippy-Toe_(Earth-616)#,2005,10,05-Jul,16,NO,Full,
71,Wade Wilson,MALE,http://marvel.wikia.com/Wade_Wilson_(Earth-616)#,2007,8,07-Sep,575,NO,Full,
72,Greg Willis,MALE,http://marvel.wikia.com/Greg_Willis_(Earth-616)#,2009,6,09-Aug,58,NO,Full,
73,Circe,FEMALE,http://marvel.wikia.com/Sersi_(Earth-616)#,1990,25,Feb-90,237,NO,Full,
74,Peter Benjamin Parker,MALE,http://marvel.wikia.com/Peter_Parker_(Earth-616)#,1990,25,Apr-90,4333,YES,Full,
75,Walter Newell,MALE,http://marvel.wikia.com/Walter_Newell_(Earth-616)#,1990,25,Jul-90,126,NO,Full,
76,Elvin Haliday,MALE,http://marvel.wikia.com/Elvin_Haliday_(Earth-616)#,1900,115,,158,NO,Probationary,Feb-91
77,William Baker,MALE,http://marvel.wikia.com/William_Baker_(Earth-616)#,1900,115,,355,NO,Probationary,Feb-91
78,Crystal Amaquelin Maximoff,FEMALE,http://marvel.wikia.com/Crystalia_Amaquelin_(Earth-616)#,1992,23,Jan-92,517,NO,Full,Aug-91
79,Eric Kevin Masterson,MALE,http://marvel.wikia.com/Eric_Masterson_(Earth-616)#,1992,23,Jan-92,202,NO,Full,
80,Phillip Javert,MALE,http://marvel.wikia.com/Philip_Javert_(Earth-921)#,1992,23,Dec-92,31,NO,Honorary,
81,Melissa Darrow,FEMALE,http://marvel.wikia.com/Melissa_Darrow_(Earth-9201)#,1993,22,Jun-93,28,NO,Honorary,
82,Sharra Neramani,FEMALE,http://marvel.wikia.com/Deathcry_(Earth-616)#,1993,22,Jul-93,50,NO,Honorary,
83,Anthony Edward Stark,MALE,http://marvel.wikia.com/Anthony_Stark_(Earth-96020)#,1996,19,Feb-96,27,NO,Full,
84,"""Giulietta Nefaria""",FEMALE,http://marvel.wikia.com/Giuletta_Nefaria_(Masque)_(Earth-616)#,1996,19,Apr-96,18,NO,Honorary,
85,Vance Astrovik,MALE,http://marvel.wikia.com/Vance_Astrovik_(Earth-616)#,1998,17,May-98,302,NO,Full,
86,Angelica Jones,FEMALE,http://marvel.wikia.com/Angelica_Jones_(Earth-616)#,1998,17,May-98,330,NO,Full,
87,Delroy Garrett Jr.,MALE,http://marvel.wikia.com/Delroy_Garrett_Jr._(Earth-616)#,2000,15,Apr-00,101,NO,Full,
88,Maria de Guadalupe Santiago,FEMALE,http://marvel.wikia.com/Maria_de_Guadalupe_Santiago_(Earth-616)#,2000,15,Jul-00,43,NO,Full,
89,Jonathan Hart,MALE,http://marvel.wikia.com/Jonathan_Hart_(Earth-616)#,2001,14,01-Aug,126,NO,Full,
90,Kelsey Leigh Shorr,FEMALE,http://marvel.wikia.com/Kelsey_Leigh_(Earth-616)#,2004,11,04-Jun,24,NO,Full,
91,Carl Lucas,MALE,http://marvel.wikia.com/Luke_Cage_(Earth-616)#,2005,10,05-Mar,886,YES,Full,
92,Veranke,FEMALE,http://marvel.wikia.com/Veranke_(Earth-616)#,2005,10,05-Mar,159,NO,Full,
93,"James ""Logan"" Howlett",MALE,http://marvel.wikia.com/James_Howlett_(Earth-616)#,2005,10,05-Jun,3130,YES,Full,
94,Robert Reynolds,MALE,http://marvel.wikia.com/Robert_Reynolds_(Earth-616)#,2005,10,05-Oct,241,NO,Full,
95,Maya Lopez,FEMALE,http://marvel.wikia.com/Maya_Lopez_(Earth-616)#,2005,10,05-Nov,67,NO,Full,
96,Nathaniel Richards,MALE,http://marvel.wikia.com/Nathaniel_Richards_(Iron_Lad)_(Earth-6311)#,2005,10,05-Apr,23,NO,Full,
97,Elijah Bradley,MALE,http://marvel.wikia.com/Elijah_Bradley_(Earth-616)#,2005,10,05-Apr,103,NO,Full,
98,"William ""Billy"" Kaplan",MALE,http://marvel.wikia.com/William_Kaplan_(Earth-616)#,2005,10,05-Apr,123,YES,Full,
99,"Dorrek VIII/Theodore ""Teddy"" Altman",MALE,http://marvel.wikia.com/Dorrek_VIII_(Earth-616)#,2005,10,05-Apr,110,YES,Full,
100,Cassie Lang,FEMALE,http://marvel.wikia.com/Cassandra_Lang_(Earth-616)#,2005,10,05-Jun,160,NO,Full,
101,"Katherine ""Kate"" Bishop",FEMALE,http://marvel.wikia.com/Katherine_Bishop_(Earth-616)#,2005,10,05-Jun,132,YES,Full,
102,Alias: Jonas,MALE,http://marvel.wikia.com/Vision_(Jonas)_(Earth-616)#,2006,9,06-Feb,121,NO,Full,
103,"Thomas ""Tommy"" Shepherd",MALE,http://marvel.wikia.com/Thomas_Shepherd_(Earth-616)#,2006,9,06-Jun,59,YES,Full,
104,Daniel Thomas Rand K'ai,MALE,http://marvel.wikia.com/Daniel_Rand_(Earth-616)#,2007,8,07-Feb,629,NO,Full,
105,Doctor Stephen Vincent Strange,MALE,http://marvel.wikia.com/Stephen_Strange_(Earth-616)#,2007,8,07-Feb,1324,NO,Full,
106,Ares,MALE,http://marvel.wikia.com/Ares_(Earth-616)#,2007,8,07-Mar,236,NO,Full,
107,James Buchanan Barnes,MALE,http://marvel.wikia.com/James_Buchanan_Barnes_(Earth-616)#,2008,7,08-Dec,663,NO,Full,
108,Jessica Miriam Drew,FEMALE,http://marvel.wikia.com/Jessica_Drew_(Earth-616)#,2008,7,08-Dec,525,YES,Full,
109,Jessica Jones,FEMALE,http://marvel.wikia.com/Jessica_Jones_(Earth-616)#,2010,5,10-Aug,205,YES,Full,
110,Amadeus Cho,MALE,http://marvel.wikia.com/Amadeus_Cho_(Earth-616)#,2009,6,09-Dec,108,NO,Full,
111,Maria Hill,FEMALE,http://marvel.wikia.com/Maria_Hill_(Earth-616)#,2010,5,10-May,359,YES,Full,
112,Robbie Baldwin,MALE,http://marvel.wikia.com/Robert_Baldwin_(Earth-616)#,2010,5,10-Jun,299,NO,Full,
113,Sharon Carter,FEMALE,http://marvel.wikia.com/Sharon_Carter_(Earth-616)#,2010,5,10-May,333,NO,Full,
114,Eric O'Grady,MALE,http://marvel.wikia.com/Eric_O%27Grady_(Earth-616)#,2010,5,10-May,88,NO,Full,
115,Brunnhilde,FEMALE,http://marvel.wikia.com/Brunnhilde_(Earth-616)#,2010,5,10-May,369,NO,Full,
116,Richard Rider,MALE,http://marvel.wikia.com/Richard_Rider_(Earth-616)#,2010,5,10-May,380,NO,Full,
117,Brian Braddock,MALE,http://marvel.wikia.com/Brian_Braddock_(Earth-616)#,2010,5,10-May,545,NO,Full,
118,Dennis Sykes,MALE,http://marvel.wikia.com/Dennis_Sykes_(Earth-616)#,2010,5,10-Sep,6,NO,Full,
119,Noh-Varr,MALE,http://marvel.wikia.com/Noh-Varr_(Earth-616)#,2010,5,10-Jun,126,YES,Full,
120,Thaddeus Ross,MALE,http://marvel.wikia.com/Thaddeus_Ross_(Earth-616)#,2011,4,11-Jun,417,NO,Full,
121,John Aman,MALE,http://marvel.wikia.com/John_Aman_(Earth-616)#,2010,5,10-Dec,31,YES,Full,
122,Shang-Chi,MALE,http://marvel.wikia.com/Shang-Chi_(Earth-616)#,2011,4,11-Apr,310,YES,Full,
123,James Santini,MALE,http://marvel.wikia.com/James_Santini_(Earth-616)#,1900,115,,40,YES,Academy,
124,Emery Schaub,MALE,http://marvel.wikia.com/Emery_Schaub_(Earth-616)#,1900,115,,26,YES,Academy,
125,Jeanne Foucault,FEMALE,http://marvel.wikia.com/Jeanne_Foucault_(Earth-616)#,2010,5,10-Aug,63,YES,Academy,
126,Fiona,FEMALE,http://marvel.wikia.com/Fiona_(Inhuman)_(Earth-616)#,1900,115,,2,YES,Academy,
127,Jennifer Takeda,FEMALE,http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#,2010,5,10-Aug,73,YES,Academy,
128,Yvette,FEMALE,http://marvel.wikia.com/Hollow_(Earth-616)#,1900,115,,22,YES,Academy,
129,Julie Power,FEMALE,http://marvel.wikia.com/Julie_Power_(Earth-616)#,1900,115,,153,YES,Academy,
130,Alani Ryan,FEMALE,http://marvel.wikia.com/Alani_Ryan_(Earth-616)#,1900,115,,73,YES,Academy,
131,Ken Mack,MALE,http://marvel.wikia.com/Ken_Mack_(Earth-616)#,2010,5,10-Aug,59,NO,Academy,
132,Humberto Lopez,MALE,http://marvel.wikia.com/Humberto_Lopez_(Earth-616)#,2010,5,10-Aug,66,YES,Academy,
133,Johnny Gallo,MALE,http://marvel.wikia.com/Johnathon_Gallo_(Earth-616)#,1900,115,,43,YES,Academy,
134,Lyra,FEMALE,http://marvel.wikia.com/Lyra_(Earth-8009)#,1900,115,,55,YES,Academy,
135,Anya Corazon,FEMALE,http://marvel.wikia.com/Anya_Corazon_(Earth-616)#,1900,115,,108,YES,Academy,
136,Brandon Sharpe,MALE,http://marvel.wikia.com/Brandon_Sharpe_(Earth-616)#,2010,5,10-Aug,64,YES,Academy,
137,Kevin Masterson,MALE,http://marvel.wikia.com/Kevin_Masterson_(Earth-616)#,1900,115,,62,YES,Academy,
138,Michiko Musashi,FEMALE,http://marvel.wikia.com/Michiko_Musashi_(Earth-616)#,1900,115,,94,YES,Academy,
139,Taki Matsuya,MALE,http://marvel.wikia.com/Takashi_Matsuya_(Earth-616)#,1900,115,,18,YES,Academy,
140,Daisy Johnson,FEMALE,http://marvel.wikia.com/Daisy_Johnson_(Earth-616)#,2012,3,12-Jan,81,NO,Full,
141,Ororo Munroe,FEMALE,http://marvel.wikia.com/Ororo_Munroe_(Earth-616)#,2012,3,12-Jan,1598,NO,Full,
142,Matt Murdock,MALE,http://marvel.wikia.com/Matthew_Murdock_(Earth-616)#,2011,4,11-Nov,1375,NO,Full,
143,Flash Thompson,MALE,http://marvel.wikia.com/Eugene_Thompson_(Earth-616)#,2012,3,12-Apr,746,YES,Honorary,
144,Otto Octavius,MALE,http://marvel.wikia.com/Otto_Octavius_(Earth-616)#,2013,2,13-Jan,561,NO,Full,
145,Alex Summers,MALE,http://marvel.wikia.com/Alexander_Summers_(Earth-616)#,2012,3,12-Dec,592,YES,Full,
146,Samuel Guthrie,MALE,http://marvel.wikia.com/Samuel_Guthrie_(Earth-616)#,2013,2,13-Feb,679,YES,Full,
147,Roberto da Costa,MALE,http://marvel.wikia.com/Roberto_da_Costa_(Earth-616)#,2013,2,13-Feb,491,YES,Full,
148,Eden Fesi,MALE,http://marvel.wikia.com/Eden_Fesi_(Earth-616)#,2013,2,13-Feb,65,YES,Full,
149,Captain Universe,MALE,http://marvel.wikia.com/Captain_Universe_(Earth-616)#,2013,2,13-Feb,55,YES,Full,
150,Izzy Kane,FEMALE,http://marvel.wikia.com/Isabel_Kane_(Earth-616)#,2013,2,13-Feb,44,YES,Full,
151,Marcus Milton,MALE,http://marvel.wikia.com/Marcus_Milton_(Earth-13034)#,2013,2,13-Feb,65,YES,Full,
152,Anna Marie,FEMALE,http://marvel.wikia.com/Rogue_(Anna_Marie)_(Earth-616)#,2013,2,13-Apr,877,YES,Full,
153,Shiro Yoshida,MALE,http://marvel.wikia.com/Shiro_Yoshida_(Earth-616)#,2013,2,13-May,176,YES,Full,
154,Ex Nihilo,MALE,http://marvel.wikia.com/Ex_Nihilo_(Earth-616)#,2013,2,13-Oct,24,YES,Full,
155,Abyss,FEMALE,http://marvel.wikia.com/Abyss_(Ex_Nihilo%27s)_(Earth-616)#,2013,2,13-Oct,25,YES,Full,
156,Adam,MALE,http://marvel.wikia.com/Nightmask_(Earth-616)#,2013,2,13-Oct,35,YES,Full,
157,Kevin Kale Connor,MALE,http://marvel.wikia.com/Kevin_Connor_(Earth-616)#,2013,2,13-Oct,44,YES,Full,
158,Sam Alexander,MALE,http://marvel.wikia.com/Sam_Alexander_(Earth-616)#,2015,0,15-Feb,78,YES,Honorary,
159,America Chavez,FEMALE,http://marvel.wikia.com/America_Chavez_(Earth-616)#,2013,2,13-Jul,22,YES,Full,
160,Loki Laufeyson,MALE,http://marvel.wikia.com/Loki_Laufeyson_(Ikol)_(Earth-616)#,2013,2,13-Jul,77,NO,Full,
161,David Alleyne,MALE,http://marvel.wikia.com/David_Alleyne_(Earth-616)#,2013,2,13-Sep,115,YES,Full,
162,"Nicholas Fury, Jr., Marcus Johnson",MALE,"http://marvel.wikia.com/Nicholas_Fury,_Jr._(Earth-616)#",2013,2,13-Apr,77,YES,Full,
163,Phillip Coulson,MALE,http://marvel.wikia.com/Phillip_Coulson_(Earth-616)#,2013,2,13-Apr,69,YES,Full,
164,Tony Masters,MALE,http://marvel.wikia.com/Tony_Masters_(Earth-616)#,2013,2,13-May,173,NO,Full,
165,Victor Mancha,MALE,http://marvel.wikia.com/Victor_Mancha_(Earth-616)#,2013,2,13-Sep,75,YES,Full,
166,Monica Chang,FEMALE,http://marvel.wikia.com/Monica_Chang_(Earth-616)#,2013,2,13-Sep,12,YES,Full,
167,Doombot,MALE,http://marvel.wikia.com/Doombot_(Avenger)_(Earth-616)#,2013,2,13-Sep,14,YES,Full,
168,Alexis,FEMALE,http://marvel.wikia.com/Alexis_(Earth-616)#,2013,2,13-Nov,13,YES,Full,
169,Eric Brooks,MALE,http://marvel.wikia.com/Eric_Brooks_(Earth-616)#,2013,2,13-Nov,198,YES,Full,
170,Adam Brashear,MALE,http://marvel.wikia.com/Adam_Brashear_(Earth-616)#,2014,1,14-Jan,29,YES,Full,
171,Victor Alvarez,MALE,http://marvel.wikia.com/Victor_Alvarez_(Earth-616)#,2014,1,14-Jan,45,YES,Full,
172,Ava Ayala,FEMALE,http://marvel.wikia.com/Ava_Ayala_(Earth-616)#,2014,1,14-Jan,49,YES,Full,
173,Kaluu,MALE,http://marvel.wikia.com/Kaluu_(Earth-616)#,2015,0,15-Jan,35,YES,Full,
